Sl. No.,NT,THT,THt2,THQCr,CT,Ct3,DT,Dt4,QmT,TT,Tt5,TCr,C,Ni,Cr,Mo,Fatigue,,,
305,900,845,30,8,30,0,30,0,30,650,60,24,0.35,2.78,0.89,0,503,,,
306,900,845,30,8,30,0,30,0,30,650,60,24,0.31,2.63,0.71,0,471,,,
307,900,845,30,8,30,0,30,0,30,650,60,24,0.33,2.66,0.82,0,476,,,
308,900,845,30,8,30,0,30,0,30,650,60,24,0.28,2.67,0.87,0,502,,,
309,900,845,30,8,30,0,30,0,30,650,60,24,0.34,2.63,0.84,0,496,,,
310,900,845,30,8,30,0,30,0,30,650,60,24,0.3,2.7,0.81,0,471,,,
311,900,845,30,8,30,0,30,0,30,650,60,24,0.32,2.67,0.77,0,497,,,
312,870,845,30,8,30,0,30,0,30,580,60,24,0.39,1.67,0.72,0.18,591,,,
313,870,845,30,8,30,0,30,0,30,580,60,24,0.4,1.82,0.78,0.18,590,,,
314,870,845,30,8,30,0,30,0,30,580,60,24,0.4,1.92,0.96,0.24,606,,,
315,870,845,30,8,30,0,30,0,30,580,60,24,0.4,1.63,0.71,0.17,584,,,
316,870,845,30,8,30,0,30,0,30,580,60,24,0.38,1.8,0.75,0.23,604,,,
317,870,845,30,8,30,0,30,0,30,580,60,24,0.4,1.71,0.74,0.2,591,,,
318,870,845,30,8,30,0,30,0,30,580,60,24,0.42,1.69,0.73,0.22,588,,,
319,870,845,30,8,30,0,30,0,30,580,60,24,0.38,1.66,0.72,0.16,588,,,
320,870,845,30,8,30,0,30,0,30,580,60,24,0.41,1.84,0.74,0.22,550,,,
321,870,845,30,8,30,0,30,0,30,580,60,24,0.39,1.76,0.82,0.23,609,,,
322,870,845,30,8,30,0,30,0,30,580,60,24,0.38,1.75,0.74,0.19,604,,,
323,870,845,30,8,30,0,30,0,30,580,60,24,0.42,1.9,0.86,0.24,619,,,
324,870,845,30,8,30,0,30,0,30,580,60,24,0.37,1.88,0.9,0.24,643,,,
325,870,845,30,8,30,0,30,0,30,580,60,24,0.43,1.62,0.68,0.17,569,,,
326,870,845,30,8,30,0,30,0,30,630,60,24,0.39,1.67,0.72,0.18,551,,,
327,870,845,30,8,30,0,30,0,30,630,60,24,0.4,1.82,0.78,0.18,543,,,
328,870,845,30,8,30,0,30,0,30,630,60,24,0.4,1.92,0.96,0.24,543,,,
329,870,845,30,8,30,0,30,0,30,630,60,24,0.4,1.63,0.71,0.17,524,,,
330,870,845,30,8,30,0,30,0,30,630,60,24,0.38,1.8,0.75,0.23,571,,,
331,870,845,30,8,30,0,30,0,30,630,60,24,0.4,1.71,0.74,0.2,542,,,
332,870,845,30,8,30,0,30,0,30,630,60,24,0.42,1.69,0.73,0.22,531,,,
333,870,845,30,8,30,0,30,0,30,630,60,24,0.38,1.66,0.72,0.16,531,,,
334,870,845,30,8,30,0,30,0,30,630,60,24,0.41,1.84,0.74,0.22,512,,,
335,870,845,30,8,30,0,30,0,30,630,60,24,0.39,1.76,0.82,0.23,563,,,
336,870,845,30,8,30,0,30,0,30,630,60,24,0.38,1.75,0.74,0.19,550,,,
337,870,845,30,8,30,0,30,0,30,630,60,24,0.42,1.9,0.86,0.24,583,,,
338,870,845,30,8,30,0,30,0,30,630,60,24,0.37,1.88,0.9,0.24,583,,,
339,870,845,30,8,30,0,30,0,30,630,60,24,0.43,1.62,0.68,0.17,550,,,
340,870,845,30,8,30,0,30,0,30,680,60,24,0.39,1.67,0.72,0.18,482,,,
341,870,845,30,8,30,0,30,0,30,680,60,24,0.4,1.82,0.78,0.18,482,,,
342,870,845,30,8,30,0,30,0,30,680,60,24,0.4,1.92,0.96,0.24,490,,,
343,870,845,30,8,30,0,30,0,30,680,60,24,0.4,1.63,0.71,0.17,476,,,
344,870,845,30,8,30,0,30,0,30,680,60,24,0.38,1.8,0.75,0.23,483,,,
345,870,845,30,8,30,0,30,0,30,680,60,24,0.4,1.71,0.74,0.2,480,,,
346,870,845,30,8,30,0,30,0,30,680,60,24,0.42,1.69,0.73,0.22,491,,,
347,870,845,30,8,30,0,30,0,30,680,60,24,0.38,1.66,0.72,0.16,471,,,
348,870,845,30,8,30,0,30,0,30,680,60,24,0.41,1.84,0.74,0.22,469,,,
349,870,845,30,8,30,0,30,0,30,680,60,24,0.39,1.76,0.82,0.23,490,,,
350,870,845,30,8,30,0,30,0,30,680,60,24,0.38,1.75,0.74,0.19,483,,,
351,870,845,30,8,30,0,30,0,30,680,60,24,0.42,1.9,0.86,0.24,498,,,
352,870,845,30,8,30,0,30,0,30,680,60,24,0.37,1.88,0.9,0.24,491,,,
353,870,845,30,8,30,0,30,0,30,680,60,24,0.43,1.62,0.68,0.17,463,,,
354,870,845,30,8,30,0,30,0,30,580,60,24,0.47,1.76,0.79,0,600,,,
355,870,845,30,8,30,0,30,0,30,580,60,24,0.47,1.67,0.71,0,615,,,
356,870,845,30,8,30,0,30,0,30,580,60,24,0.44,1.74,0.79,0,607,,,
357,870,845,30,8,30,0,30,0,30,580,60,24,0.45,1.65,0.73,0,596,,,
358,870,845,30,8,30,0,30,0,30,580,60,24,0.48,1.66,0.73,0,618,,,
359,870,845,30,8,30,0,30,0,30,580,60,24,0.49,1.8,0.77,0,585,,,
360,870,845,30,8,30,0,30,0,30,630,60,24,0.47,1.76,0.79,0,551,,,
361,870,845,30,8,30,0,30,0,30,630,60,24,0.47,1.67,0.71,0,556,,,
362,870,845,30,8,30,0,30,0,30,630,60,24,0.44,1.74,0.79,0,550,,,
363,870,845,30,8,30,0,30,0,30,630,60,24,0.45,1.65,0.73,0,537,,,
364,870,845,30,8,30,0,30,0,30,630,60,24,0.48,1.66,0.73,0,543,,,
365,870,845,30,8,30,0,30,0,30,630,60,24,0.49,1.8,0.77,0,543,,,
366,870,845,30,8,30,0,30,0,30,680,60,24,0.47,1.76,0.79,0,471,,,
367,870,845,30,8,30,0,30,0,30,680,60,24,0.47,1.67,0.71,0,476,,,
368,870,845,30,8,30,0,30,0,30,680,60,24,0.44,1.74,0.79,0,482,,,
369,870,845,30,8,30,0,30,0,30,680,60,24,0.45,1.65,0.73,0,477,,,
370,870,845,30,8,30,0,30,0,30,680,60,24,0.48,1.66,0.73,0,491,,,
371,870,845,30,8,30,0,30,0,30,680,60,24,0.49,1.8,0.77,0,479,,,
372,845,845,30,8,30,0,30,0,30,430,60,24,0.6,0.05,0.15,0,781,,,
373,845,845,30,8,30,0,30,0,30,430,60,24,0.59,0.01,0.15,0,698,,,
374,845,845,30,8,30,0,30,0,30,430,60,24,0.61,0.16,0.16,0,906,,,
375,845,845,30,8,30,0,30,0,30,500,60,24,0.6,0.05,0.15,0,740,,,
376,845,845,30,8,30,0,30,0,30,500,60,24,0.59,0.01,0.15,0,678,,,
377,845,845,30,8,30,0,30,0,30,500,60,24,0.61,0.16,0.16,0,770,,,
378,845,845,30,8,30,0,30,0,30,420,60,24,0.61,0.08,0.87,0.05,794,,,
379,845,845,30,8,30,0,30,0,30,420,60,24,0.63,0.03,0.81,0.01,855,,,
380,845,845,30,8,30,0,30,0,30,420,60,24,0.62,0.05,0.75,0.03,768,,,
381,845,845,30,8,30,0,30,0,30,490,60,24,0.61,0.08,0.87,0.05,745,,,
382,845,845,30,8,30,0,30,0,30,490,60,24,0.63,0.03,0.81,0.01,707,,,
383,845,845,30,8,30,0,30,0,30,490,60,24,0.62,0.05,0.75,0.03,718,,,
384,845,845,30,8,30,0,30,0,30,430,60,24,0.53,0.02,0.74,0,874,,,
385,845,845,30,8,30,0,30,0,30,430,60,24,0.53,0.04,0.63,0.01,829,,,
386,845,845,30,8,30,0,30,0,30,430,60,24,0.53,0.13,0.68,0.05,700,,,
387,845,845,30,8,30,0,30,0,30,500,60,24,0.54,0.02,0.74,0,806,,,
388,845,845,30,8,30,0,30,0,30,500,60,24,0.53,0.04,0.64,0.01,720,,,
389,845,845,30,8,30,0,30,0,30,500,60,24,0.53,0.13,0.67,0.05,688,,,
390,930,30,0,0,930,139.8,850,15,60,160,120,0.5,0.21,1.62,0.59,0.21,1034,,,
391,930,30,0,0,930,139.8,850,15,60,160,120,0.5,0.23,1.69,0.55,0.18,1139,,,
392,930,30,0,0,930,139.8,850,15,60,160,120,0.5,0.17,1.64,0.45,0.16,1002,,,
393,930,30,0,0,930,469.8,850,15,60,160,120,0.5,0.21,1.62,0.59,0.21,1056,,,
394,930,30,0,0,930,469.8,850,15,60,160,120,0.5,0.23,1.69,0.55,0.18,1124,,,
395,930,30,0,0,930,469.8,850,15,60,160,120,0.5,0.17,1.64,0.45,0.16,1082,,,
396,930,30,0,0,930,540,850,15,140,160,120,0.5,0.21,1.62,0.59,0.21,1054,,,
397,930,30,0,0,930,540,850,15,140,160,120,0.5,0.23,1.69,0.55,0.18,1190,,,
398,930,30,0,0,930,540,850,15,140,160,120,0.5,0.17,1.64,0.45,0.16,935,,,
399,930,30,0,0,930,469.8,850,15,60,200,120,0.5,0.21,1.62,0.59,0.21,1037,,,
400,930,30,0,0,930,469.8,850,15,60,200,120,0.5,0.23,1.69,0.55,0.18,1110,,,
401,930,30,0,0,930,469.8,850,15,60,200,120,0.5,0.17,1.64,0.45,0.16,1035,,,
402,930,30,0,0,930,130.2,882.381,25.2,60,160,120,0.5,0.2,0.46,0.47,0.19,927,,,
403,930,30,0,0,930,130.2,882.381,25.2,60,160,120,0.5,0.23,0.44,0.6,0.16,976,,,
404,930,30,0,0,930,130.2,882.381,25.2,60,160,120,0.5,0.18,0.56,0.62,0.17,986,,,
405,930,30,0,0,930,450,895.517,34.8,60,160,120,0.5,0.2,0.46,0.47,0.19,956,,,
406,930,30,0,0,930,450,895.517,34.8,60,160,120,0.5,0.23,0.44,0.6,0.16,946,,,
407,930,30,0,0,930,450,895.517,34.8,60,160,120,0.5,0.18,0.56,0.62,0.17,1089,,,
408,930,30,0,0,930,510,903.333,45,140,160,120,0.5,0.2,0.46,0.47,0.19,960,,,
409,930,30,0,0,930,510,903.333,45,140,160,120,0.5,0.23,0.44,0.6,0.16,1033,,,
410,930,30,0,0,930,510,903.333,45,140,160,120,0.5,0.18,0.56,0.62,0.17,1080,,,
411,930,30,0,0,930,450,895.517,34.8,60,200,120,0.5,0.2,0.46,0.47,0.19,924,,,
412,930,30,0,0,930,450,895.517,34.8,60,200,120,0.5,0.23,0.44,0.6,0.16,1009,,,
413,930,30,0,0,930,450,895.517,34.8,60,200,120,0.5,0.18,0.56,0.62,0.17,1053,,,
414,930,30,0,0,930,100.2,895.517,34.8,60,160,120,0.5,0.21,0.08,1.09,0.03,854,,,
415,930,30,0,0,930,100.2,895.517,34.8,60,160,120,0.5,0.23,0.04,1.14,0.02,1086,,,
416,930,30,0,0,930,100.2,895.517,34.8,60,160,120,0.5,0.19,0.12,1.02,0.05,889,,,
417,930,30,0,0,930,499.8,895.812,70.2,60,160,120,0.5,0.21,0.08,1.09,0.03,884,,,
418,930,30,0,0,930,499.8,895.812,70.2,60,160,120,0.5,0.23,0.04,1.14,0.02,1057,,,
419,930,30,0,0,930,499.8,895.812,70.2,60,160,120,0.5,0.19,0.12,1.02,0.05,900,,,
420,930,30,0,0,930,529.8,895.812,70.2,140,160,120,0.5,0.21,0.08,1.09,0.03,876,,,
421,930,30,0,0,930,529.8,895.812,70.2,140,160,120,0.5,0.23,0.04,1.14,0.02,1068,,,
422,930,30,0,0,930,529.8,895.812,70.2,140,160,120,0.5,0.19,0.12,1.02,0.05,838,,,
423,930,30,0,0,930,499.8,895.812,70.2,60,200,120,0.5,0.21,0.08,1.09,0.03,873,,,
424,930,30,0,0,930,499.8,895.812,70.2,60,200,120,0.5,0.23,0.04,1.14,0.02,1120,,,
425,930,30,0,0,930,499.8,895.812,70.2,60,200,120,0.5,0.19,0.12,1.02,0.05,898,,,
426,930,30,0,0,930,90,881.807,49.8,60,160,120,0.5,0.21,0.06,1.17,0.17,1074,,,
427,930,30,0,0,930,90,881.807,49.8,60,160,120,0.5,0.21,0.02,0.91,0.15,1006,,,
428,930,30,0,0,930,90,881.807,49.8,60,160,120,0.5,0.18,0.07,1.08,0.15,858,,,
429,930,30,0,0,930,340.2,895.812,70.2,60,160,120,0.5,0.21,0.06,1.17,0.17,1144,,,
430,930,30,0,0,930,340.2,895.812,70.2,60,160,120,0.5,0.21,0.02,0.91,0.15,1028,,,
431,930,30,0,0,930,340.2,895.812,70.2,60,160,120,0.5,0.18,0.07,1.08,0.15,948,,,
432,930,30,0,0,930,340.2,895.812,70.2,140,160,120,0.5,0.21,0.06,1.17,0.17,1080,,,
433,930,30,0,0,930,340.2,895.812,70.2,140,160,120,0.5,0.21,0.02,0.91,0.15,1030,,,
434,930,30,0,0,930,340.2,895.812,70.2,140,160,120,0.5,0.18,0.07,1.08,0.15,957,,,
435,930,30,0,0,930,340.2,895.812,70.2,60,200,120,0.5,0.21,0.06,1.17,0.17,1104,,,
436,930,30,0,0,930,340.2,895.812,70.2,60,200,120,0.5,0.21,0.02,0.91,0.15,1008,,,
437,930,30,0,0,930,340.2,895.812,70.2,60,200,120,0.5,0.18,0.07,1.08,0.15,882,,,
